postcode,regiostar,state
10115,1,BE
10117,1,BE
10119,1,BE
10178,1,BE
10179,1,BE
10243,1,BE
10245,1,BE
10247,1,BE
10249,1,BE
10315,1,BE
10317,1,BE
10318,1,BE
10319,1,BE
10365,1,BE
10367,1,BE
10369,1,BE
10405,1,BE
10407,1,BE
10409,1,BE
10435,1,BE
10437,1,BE
10439,1,BE
10551,1,BE
10553,1,BE
10555,1,BE
10557,1,BE
10559,1,BE
10585,1,BE
10587,1,BE
10589,1,BE
10623,1,BE
10625,1,BE
10627,1,BE
10629,1,BE
1067,1,SN
1069,1,SN
10707,1,BE
10709,1,BE
10711,1,BE
10713,1,BE
10715,1,BE
10717,1,BE
10719,1,BE
10777,1,BE
10779,1,BE
10781,1,BE
10783,1,BE
10785,1,BE
10787,1,BE
10789,1,BE
10823,1,BE
10825,1,BE
10827,1,BE
10829,1,BE
10961,1,BE
10963,1,BE
10965,1,BE
10967,1,BE
10969,1,BE
1097,1,SN
1099,1,SN
10997,1,BE
10999,1,BE
1108,1,SN
1109,1,SN
1127,1,SN
1129,1,SN
1139,1,SN
1156,1,SN
1157,1,SN
1159,1,SN
1169,1,SN
1187,1,SN
1189,1,SN
12043,1,BE
12045,1,BE
12047,1,BE
12049,1,BE
12051,1,BE
12053,1,BE
12055,1,BE
12057,1,BE
12059,1,BE
12099,1,BE
12101,1,BE
12103,1,BE
12105,1,BE
12107,1,BE
12109,1,BE
12157,1,BE
12159,1,BE
12161,1,BE
12163,1,BE
12165,1,BE
12167,1,BE
12169,1,BE
1217,1,SN
1219,1,SN
12203,1,BE
12205,1,BE
12207,1,BE
12209,1,BE
12247,1,BE
12249,1,BE
12277,1,BE
12279,1,BE
12305,1,BE
12307,1,BE
12309,1,BE
12347,1,BE
12349,1,BE
12351,1,BE
12353,1,BE
12355,1,BE
12357,1,BE
12359,1,BE
1237,1,SN
1239,1,SN
12435,1,BE
12437,1,BE
12439,1,BE
12459,1,BE
12487,1,BE
12489,1,BE
12524,1,BE
12526,1,BE
12527,1,BE
12529,4,BB
12555,1,BE
12557,1,BE
12559,1,BE
1257,1,SN
12587,1,BE
12589,1,BE
1259,1,SN
12619,1,BE
12621,1,BE
12623,1,BE
12627,1,BE
12629,1,BE
12679,1,BE
12681,1,BE
12683,1,BE
12685,1,BE
12687,1,BE
12689,1,BE
1277,1,SN
1279,1,SN
13051,1,BE
13053,1,BE
13055,1,BE
13057,1,BE
13059,1,BE
1307,1,SN
13086,1,BE
13088,1,BE
13089,1,BE
1309,1,SN
13125,1,BE
13127,1,BE
13129,1,BE
13156,1,BE
13158,1,BE
13159,1,BE
13187,1,BE
13189,1,BE
1324,1,SN
1326,1,SN
1328,1,SN
13347,1,BE
13349,1,BE
13351,1,BE
13353,1,BE
13355,1,BE
13357,1,BE
13359,1,BE
13403,1,BE
13405,1,BE
13407,1,BE
13409,1,BE
13435,1,BE
13437,1,BE
13439,1,BE
13465,1,BE
13467,1,BE
13469,1,BE
13503,1,BE
13505,1,BE
13507,1,BE
13509,1,BE
13581,1,BE
13583,1,BE
13585,1,BE
13587,1,BE
13589,1,BE
13591,1,BE
13593,1,BE
13595,1,BE
13597,1,BE
13599,1,BE
13627,1,BE
13629,1,BE
14050,1,BE
14052,1,BE
14053,1,BE
14055,1,BE
14057,1,BE
14059,1,BE
14089,1,BE
14109,1,BE
14129,1,BE
14163,1,BE
14165,1,BE
14167,1,BE
14169,1,BE
14193,1,BE
14195,1,BE
14197,1,BE
14199,1,BE
1445,3,SN
14467,2,BB
14469,2,BB
14471,2,BB
14473,2,BB
14476,2,BB
14478,2,BB
14480,2,BB
14482,2,BB
14513,4,BB
14532,4,BB
1454,5,SN
14542,4,BB
14547,5,BB
14548,4,BB
14550,5,BB
14552,4,BB
14554,5,BB
14558,4,BB
1458,4,SN
14612,3,BB
14621,5,BB
14624,4,BB
14641,5,BB
1465,1,SN
14656,4,BB
14662,5,BB
14669,5,BB
1468,4,SN
1471,5,SN
14712,3,BB
14715,3,BB
14727,4,BB
14728,5,BB
1477,5,SN
14770,3,BB
14772,3,BB
14774,3,BB
14776,3,BB
14778,3,BB
14789,5,BB
14793,5,BB
14797,5,BB
14798,5,BB
14806,5,BB
14822,5,BB
14823,5,BB
14827,5,BB
14828,5,BB
14913,5,BB
14929,5,BB
14943,3,BB
14947,5,BB
14959,5,BB
14974,4,BB
14979,4,BB
15230,3,BB
15232,3,BB
15234,3,BB
15236,3,BB
15295,5,BB
15299,5,BB
15306,5,BB
15320,5,BB
15324,5,BB
15326,5,BB
15328,5,BB
15344,4,BB
15345,5,BB
15366,4,BB
15370,4,BB
15374,5,BB
15377,5,BB
15378,4,BB
15517,3,BB
15518,5,BB
15526,5,BB
15528,5,BB
15537,5,BB
15562,4,BB
15566,4,BB
15569,4,BB
1558,4,SN
1561,5,SN
15711,3,BB
15712,3,BB
15713,3,BB
15732,4,BB
15738,4,BB
15741,4,BB
15745,4,BB
15746,5,BB
15748,5,BB
15749,5,BB
15754,5,BB
15755,5,BB
15757,5,BB
15806,5,BB
15827,4,BB
15831,4,BB
15834,4,BB
15837,5,BB
15838,5,BB
15848,5,BB
15859,5,BB
15864,5,BB
15868,5,BB
1587,3,SN
1589,3,SN
15890,5,BB
15898,5,BB
15907,4,BB
1591,3,SN
15910,5,BB
15913,5,BB
15926,5,BB
15936,5,BB
15938,5,BB
1594,5,SN
1609,5,SN
1612,5,SN
1616,5,SN
1619,5,SN
16225,3,BB
16227,3,BB
1623,5,SN
16230,5,BB
16244,5,BB
16247,5,BB
16248,5,BB
16259,5,BB
16269,5,BB
16278,5,BB
16303,3,BB
16306,5,BB
16307,5,BB
16321,3,BB
16341,4,BB
16348,5,BB
16356,5,BB
16359,5,BB
1640,4,SN
16515,3,BB
16540,4,BB
16547,4,BB
16548,4,BB
16552,4,BB
16556,4,BB
16559,5,BB
16562,4,BB
16567,4,BB
1662,4,SN
1665,4,SN
16727,5,BB
16761,4,BB
16766,5,BB
16767,4,BB
16775,5,BB
16792,5,BB
16798,5,BB
16816,3,BB
16818,5,BB
16827,3,BB
1683,5,SN
16831,5,BB
16833,5,BB
16835,5,BB
16837,5,BB
16845,5,BB
16866,5,BB
16868,5,BB
1689,4,SN
16909,5,BB
16928,5,BB
16945,5,BB
16949,5,BB
17033,3,MV
17034,3,MV
17036,3,MV
17039,5,MV
1705,3,SN
17087,5,MV
17089,5,MV
17091,5,MV
17094,5,MV
17098,5,MV
17099,5,MV
17109,4,MV
17111,5,MV
17121,5,MV
17126,5,MV
17129,5,MV
17139,5,MV
17153,5,MV
17154,5,MV
17159,5,MV
17166,5,MV
17168,5,MV
17179,5,MV
17192,5,MV
17194,5,MV
17207,5,MV
17209,5,MV
17213,5,MV
17214,5,MV
17217,5,MV
17219,5,MV
1723,5,SN
17235,3,MV
17237,5,MV
17248,5,MV
17252,5,MV
17255,5,MV
17258,5,MV
17268,5,BB
17279,5,BB
1728,4,SN
17291,3,BB
17309,4,MV
1731,5,SN
17321,5,MV
17322,5,MV
17326,5,BB
17328,5,MV
17329,5,MV
17335,5,MV
17337,5,MV
1734,4,SN
17348,5,MV
17349,5,MV
17358,5,MV
17367,5,MV
1737,5,SN
17373,4,MV
17375,5,MV
17379,5,MV
1738,5,SN
17389,4,MV
17390,5,MV
17391,5,MV
17392,5,MV
17398,5,MV
17406,5,MV
17419,5,MV
17424,4,MV
17429,5,MV
17438,5,MV
1744,4,SN
17440,5,MV
17449,5,MV
17454,5,MV
17459,5,MV
17489,3,MV
17491,3,MV
17493,3,MV
17495,5,MV
17498,5,MV
17506,5,MV
17509,5,MV
1762,5,SN
1768,5,SN
1773,5,SN
1774,5,SN
1776,5,SN
1778,5,SN
1796,3,SN
18055,2,MV
18057,2,MV
18059,5,MV
18069,5,MV
1809,4,SN
18106,2,MV
18107,5,MV
18109,2,MV
18119,2,MV
1814,5,SN
18146,2,MV
18147,2,MV
1816,5,SN
18181,5,MV
18182,5,MV
18184,5,MV
1819,5,SN
18190,5,MV
18195,5,MV
18196,5,MV
18198,5,MV
18209,4,MV
18211,5,MV
18225,4,MV
18230,5,MV
18233,5,MV
18236,5,MV
18239,5,MV
1824,5,SN
18246,5,MV
18249,5,MV
1825,5,SN
18258,5,MV
18273,3,MV
18276,3,MV
18279,5,MV
1829,5,SN
18292,5,MV
18299,5,MV
18311,4,MV
18314,5,MV
18317,5,MV
18320,4,MV
1833,5,SN
18334,5,MV
18337,5,MV
18347,4,null
18356,5,MV
18374,5,MV
18375,5,MV
18435,3,MV
18437,3,MV
18439,3,MV
1844,4,SN
18442,5,MV
18445,0,null
18461,5,MV
18465,5,MV
18469,5,MV
1847,5,SN
1848,5,SN
18507,4,MV
18510,5,MV
18513,5,MV
18516,5,MV
18519,5,MV
18528,5,MV
18546,4,MV
1855,5,SN
18551,5,MV
18556,5,MV
18565,5,MV
18569,5,MV
18573,5,MV
18574,5,MV
18581,5,MV
18586,0,null
18609,5,MV
1877,4,SN
1896,5,SN
1900,4,SN
1904,4,SN
19053,2,MV
19055,2,MV
19057,2,MV
19059,2,MV
1906,5,SN
19061,2,MV
19063,2,MV
19065,5,MV
19067,5,MV
19069,5,MV
19071,5,MV
19073,5,MV
19075,5,MV
19077,5,MV
19079,5,MV
19086,5,MV
19089,5,MV
1909,5,SN
1917,0,SN
1920,5,SN
19205,5,MV
19209,5,MV
19217,5,MV
19230,4,MV
19243,5,MV
19246,5,MV
19249,5,MV
19258,5,MV
19260,5,MV
19273,5,NI
19288,4,MV
19294,5,MV
19300,5,MV
19303,5,MV
19306,5,MV
19309,5,BB
19322,5,BB
19336,5,BB
19339,5,BB
19348,5,BB
19357,5,BB
1936,5,SN
19370,3,MV
19372,3,MV
19374,5,MV
19376,0,MV
19386,5,MV
19395,5,MV
19399,5,MV
19406,5,MV
19412,5,MV
19417,5,MV
1945,5,BB
1968,3,BB
1979,4,BB
1983,4,BB
1987,4,BB
1990,5,BB
1993,5,BB
1994,5,BB
1996,3,BB
1998,5,BB
20095,1,HH
20097,1,HH
20099,1,HH
20144,1,HH
20146,1,HH
20148,1,HH
20149,1,HH
20249,1,HH
20251,1,HH
20253,1,HH
20255,1,HH
20257,1,HH
20259,1,HH
20354,1,HH
20355,1,HH
20357,1,HH
20359,1,HH
20457,1,HH
20459,1,HH
20535,1,HH
20537,1,HH
20539,1,HH
21029,1,HH
21031,1,HH
21033,1,HH
21035,1,HH
21037,1,HH
21039,1,HH
21073,1,HH
21075,1,HH
21077,1,NI
21079,1,HH
21107,1,HH
21109,1,HH
21129,1,HH
21147,1,HH
21149,1,HH
21217,3,NI
21218,3,NI
21220,3,NI
21224,4,NI
21227,4,NI
21228,4,NI
21244,3,NI
21255,5,NI
21256,5,NI
21258,5,NI
21259,5,NI
21261,5,NI
21266,4,NI
21271,5,NI
21272,5,NI
21274,5,NI
21279,5,NI
21335,3,NI
21337,3,NI
21339,3,NI
21354,5,NI
21357,5,NI
21358,5,NI
21360,5,NI
21365,4,NI
21368,5,NI
21369,5,NI
21371,5,NI
21376,5,NI
21379,5,NI
21380,5,NI
21382,5,NI
21385,5,NI
21386,5,NI
21388,5,NI
21391,5,NI
21394,5,NI
21395,4,NI
21397,5,NI
21398,5,NI
21400,5,NI
21401,5,NI
21403,5,NI
21406,5,NI
21407,5,NI
21409,5,NI
